,ASIN,name,price,ratings,ratings_count,details_link
15,B0BGNG7Y3Q,"Espresso Machine 15 Bar, Espresso and Cappuccino Machine with Milk Frother, Espresso Maker with Steamer, Digital Touch Screen Coffee Machine with 50 oz Water Tank",80.99,4.6 out of 5 stars,1,https://www.amazon.com/Kwister-Espresso-Machine-Cappuccino-Frother/dp/B0BGNG7Y3Q/ref=sr_1_16?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-16
16,B00YCP6ZNU,"De'Longhi Bar Pump Espresso and Cappuccino Machine, 15"", Stainless Steel",138.0,4.3 out of 5 stars,8,https://www.amazon.com/DeLonghi-ECP3630-Espresso-Cappuccino-Stainless/dp/B00YCP6ZNU/ref=sr_1_17?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-17
17,B0C16984VN,"Gevi Espresso Machines 20 Bar Fast Heating Commercial Automatic Cappuccino Coffee Maker with Foaming Milk Frother Wand for Espresso, Latte Macchiato, 1.2L Removable Water Tank",159.99,4.4 out of 5 stars,1,https://www.amazon.com/Gevi-Commercial-Automatic-Cappuccino-Macchiato/dp/B0C16984VN/ref=sr_1_18?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-18
19,B0BRSP8YT6,"CASABREWS Espresso Machine 20 Bar, Professional Coffee Maker Cappuccino Latte Machine with Steam Milk Frother, Espresso Coffee Machine with 49oz Removable Water Tank, Stainless Steel, Gift for Dad Mom",109.99,4.4 out of 5 stars,77,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDEzNTQ0ODE3MjQ5ODo6MDo6&url=%2FCASABREWS-Professional-Cappuccino-Removable-Stainless%2Fdp%2FB0BRSP8YT6%2Fref%3Dsr_1_20_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
21,B0BPSDHNWT,"Espresso Machine, Stainless Steel Espresso Machine with Milk Frother for Latte, Cappuccino, Machiato,for Home Espresso Maker, 1.8L Water Tank, 20 Bar",169.99,5.0 out of 5 stars,4,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDE3NDk0NDkyMzg5ODo6MDo6&url=%2FSUMSATY-Espresso-Stainless-Cappuccino-Machiato%2Fdp%2FB0BPSDHNWT%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
22,B09DXZ9R4Y,"Gevi Espresso Machines 20 Bar Fast Heating Automatic Cappuccino Coffee Maker with Foaming Milk Frother Wand for Espresso, 1.2L Removable Water Tank, Double Temperature Control System 1350W, Black",172.99,4.1 out of 5 stars,1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTMyNzk1OTM4MTAwNDgyOjE2ODg0MDAwNjg6c3BfYXRmX25leHQ6MzAwMDA0MzI5NjE3MDAyOjowOjo&url=%2FGevi-Automatic-Cappuccino-Removable-Temperature%2Fdp%2FB09DXZ9R4Y%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400068%26sprefix%3Despress%252Caps%252C162%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
25,B07ZG4X9TX,"Mixpresso Espresso Machine for Nespresso Compatible Capsule, Single Serve Coffee Maker Programmable Buttons for Espresso Pods, Premium Italian 19 Bar High Pressure Pump 27oz 1400W (White)",79.99,4.1 out of 5 stars,3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTMyNzk1OTM4MTAwNDgyOjE2ODg0MDAwNjg6c3BfYXRmX25leHQ6MjAwMDIzNzU5NjcwMjUxOjowOjo&url=%2FMixpresso-Espresso-Nespresso-Compatible-Programmable%2Fdp%2FB07ZG4X9TX%2Fref%3Dsr_1_52_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400068%26sprefix%3Despress%252Caps%252C162%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
26,B0B3SY5GBQ,"Gevi 20 Bar Compact Professional Espresso Coffee Machine with Milk Frother/Steam Wand for Espresso, Latte and Cappuccino, Stainless Steel, 35 Oz Removable Water Tank",179.99,4.3 out of 5 stars,128,https://www.amazon.com/Gevi-Professional-Cappuccino-Stainless-Removable/dp/B0B3SY5GBQ/ref=sr_1_53?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-53
27,B0C58JJKH8,"Espresso Coffee Machine, 20 Bar Espresso Machine with Steamer, Compact Espresso Maker with Milk Frother for Home, Stainless Steel Cappuccino Machine for Cappuccino, Latte, 1250W",139.99,4.7 out of 5 stars,27,https://www.amazon.com/ILAVIE-Espresso-Machine-Stainless-Cappuccino/dp/B0C58JJKH8/ref=sr_1_54?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-54
29,B0BRSL61RS,"FOHERE Espresso Machine, 15 Bar Espresso and Cappuccino Maker with Milk Frother Steam Wand, Professional Espresso Coffee Machine for Espresso, Cappuccino, Latte and Mocha, Brushed Stainless Steel",139.99,4.3 out of 5 stars,46,https://www.amazon.com/FOHERE-Espresso-Cappuccino-Professional-Stainless/dp/B0BRSL61RS/ref=sr_1_56?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-56
30,B09ZHXR4H2,"Neretva 20 Bar Espresso Coffee Machine with Steam Wand for Latte Espresso and Cappuccino, Compact Espresso Maker For Home Barista, 1350W Premium Italian High Pressure - Beige",119.99,4.0 out of 5 stars,212,https://www.amazon.com/Neretva-Espresso-Machine-Cappuccino-Pressure/dp/B09ZHXR4H2/ref=sr_1_57?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-57
